riskers
 30-44 
 60-74 , 45-59 
 5-14 , 1-4 
 5-14 , 1-4 , < 1 
 15-29 , 45-59 
 75+ , 60-74 , 45-59 
 5-14 , 15-29 
0
 5-14 , 1-4 , < 1 
 30-44 , 15-29 
 1-4 , < 1 
 60-74 
 5-14 
 45-59 
 60-74 
 30-44 , 15-29 
 75+ 
 60-74 
 75+ , 60-74 
 15-29 
 75+ , 60-74 
 15-29 
 60-74 , 45-59 
 30-44 , 45-59 
 15-29 
 60-74 , 45-59 
 75+ , 60-74 
0
 75+ , 60-74 
0
 60-74 , 45-59 
 75+ , 60-74 
 75+ 
 30-44 , 75+ , 60-74 , 5-14 , 1-4 , 15-29 , 45-59 , < 1 
 75+ , 60-74 , 45-59 
 45-59 
 75+ , 60-74 
 5-14 , 1-4 , < 1 
 60-74 
 5-14 , 15-29 
 45-59 
 75+ , 60-74 
 5-14 , 1-4 
 15-29 
 60-74 , 45-59 
 5-14 , 15-29 , < 1 
 30-44 , 15-29 
 30-44 , 15-29 
 1-4 , < 1 
 5-14 , 1-4 , < 1 
0
 5-14 
 30-44 
 30-44 , 15-29 
 75+ , 60-74 
 45-59 
0
 30-44 , 45-59 
 30-44 , 15-29 
 1-4 
 30-44 , 15-29 
 60-74 , 45-59 
 30-44 , 15-29 
 5-14 
 60-74 
 75+ , 60-74 
 75+ , 5-14 
 60-74 , 1-4 
 5-14 
 75+ , 60-74 
 5-14 , 1-4 , < 1 
0
 1-4 , < 1 
 30-44 , 75+ , 60-74 , 5-14 , 1-4 , 15-29 , 45-59 , < 1 
 5-14 , 15-29 
 5-14 , 15-29 
 75+ , 60-74 
 15-29 
0
 75+ , 5-14 
0
 30-44 , 45-59 
 5-14 , 1-4 
 45-59 
 75+ 
 75+ , 60-74 
 5-14 
 75+ , 60-74 
 75+ 
 75+ , 60-74 
0
 75+ , 60-74 , 1-4 
 15-29 
0
 5-14 
 75+ 
 5-14 
 1-4 , 15-29 
 75+ , 60-74 
 5-14 , 1-4 
 5-14 , 1-4 , < 1 
 75+ , 60-74 
 75+ , 60-74 
 75+ , 5-14 
 45-59 , < 1 
 5-14 , 1-4 
 15-29 
 30-44 , 1-4 , 15-29 
0
0
 60-74 , 45-59 
 75+ , 60-74 
 75+ , 60-74 , < 1 
 5-14 , 1-4 
 75+ , 60-74 
 5-14 , 1-4 , < 1 
 5-14 
 5-14 , 1-4 , 15-29 , < 1 
 30-44 
 75+ , 60-74 
 < 1 
 75+ , 60-74 
 1-4 
 75+ , 60-74 , 45-59 
 5-14 , 1-4 , < 1 
 45-59 
 1-4 , 15-29 
 30-44 
 75+ , 60-74 
 60-74 
 60-74 
 45-59 
 5-14 , 1-4 , 15-29 
0
 75+ , 60-74 
 60-74 , 45-59 
 1-4 , < 1 
 75+ , 60-74 
 30-44 
 75+ 
 5-14 
 15-29 
 5-14 , 1-4 , < 1 
 15-29 
 5-14 , < 1 
 5-14 
 30-44 , 5-14 , 45-59 
 75+ , 60-74 , 45-59 
 75+ , 60-74 , 45-59 
0
 75+ , 60-74 
 5-14 , 1-4 
 5-14 , 1-4 
 75+ , 60-74 
 75+ , 60-74 , 45-59 
 30-44 , 15-29 
 30-44 , 15-29 
 75+ , 60-74 
 5-14 , 15-29 
 60-74 , 45-59 
 75+ , 60-74 
 75+ , 60-74 
 60-74 
 15-29 
 75+ , 5-14 
 5-14 , 15-29 
 45-59 
 75+ , 60-74 
 30-44 , 45-59 
 75+ , 60-74 
 60-74 , 45-59 
 < 1 
 75+ , 60-74 , 45-59 
 1-4 , 15-29 , < 1 
 5-14 , 1-4 
 75+ , 60-74 
 75+ , 60-74 
 75+ , 60-74 
 15-29 
 5-14 
 5-14 , 1-4 
 15-29 
 30-44 , 45-59 
 5-14 , 1-4 , < 1 
 30-44 , 45-59 
 75+ , 60-74 
 60-74 , 45-59 
 75+ , 60-74 
 75+ 
 60-74 , 45-59 
 < 1 
 5-14 , 1-4 
 5-14 , 1-4 , < 1 
 5-14 
 5-14 , 1-4 , < 1 
 75+ , 60-74 
 60-74 , 45-59 
 75+ , 60-74 
 5-14 , 1-4 , < 1 
 75+ , 60-74 
 15-29 
 5-14 , 15-29 
 45-59 
 75+ , 60-74 
 60-74 , 45-59 
 75+ , 60-74 
 75+ , 60-74 
 1-4 , < 1 
 60-74 , 45-59 
 15-29 
 30-44 , 75+ 
 < 1 
 75+ , 60-74 , 45-59 
 30-44 
 60-74 , 45-59 
 30-44 , 75+ , 60-74 , 5-14 , 1-4 , 15-29 , 45-59 , < 1 
 75+ , 60-74 
 75+ , 60-74 
 75+ , 60-74 
 15-29 
 60-74 
 60-74 , 45-59 
 5-14 , 1-4 
 30-44 , 60-74 , 1-4 
 75+ , 60-74 
 5-14 , 1-4 
 30-44 
 1-4 , < 1 
 5-14 
 75+ , 60-74 , 45-59 
 5-14 
 30-44 , 75+ , 60-74 , 5-14 , 1-4 , 15-29 , 45-59 , < 1 
 15-29 
 5-14 , 45-59 
 75+ , 60-74 
 75+ , 60-74 
 75+ , 60-74 
 75+ , 60-74 , 45-59 
 5-14 , 1-4 , < 1 
 30-44 , 15-29 
 75+ , 60-74 
 5-14 
 75+ , 60-74 
 30-44 , 15-29 
 60-74 , 45-59 
 15-29 
 60-74 
 75+ , 60-74 
 < 1 
 30-44 
 < 1 
 75+ , 1-4 
 30-44 
 30-44 , 45-59 
 30-44 , 15-29 
0
 5-14 , 1-4 , < 1 
 75+ , 60-74 
0
 5-14 , 15-29 
 1-4 , < 1 
 1-4 , < 1 
 < 1 
 75+ , 60-74 , 5-14 
0
 5-14 
0
 5-14 , 1-4 , < 1 
 5-14 
 75+ , 60-74 , 45-59 
 60-74 
 5-14 , 1-4 , < 1 
